node_id pop_name DSI OSI preferred_angle max_mean_rate(Hz) Avg_Rate(Hz)
11 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
15 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
33 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
35 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
36 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
41 e5Rbp4 7.304098846218134e-17 3.804076802766598e-17 0 3.8 3.8000000000000003
42 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
48 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
49 e5Rbp4 5.233641528945917e-17 3.965619415545966e-17 0 3.0 3.0
69 e5Rbp4 4.548825048280366e-17 5.788071738665376e-17 0 2.2 2.1999999999999997
81 e5Rbp4 7.034607306733603e-17 5.5380885829271557e-17 0 0.6 0.6
84 e5Rbp4 4.548825048280366e-17 5.788071738665376e-17 0 2.2 2.1999999999999997
94 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
100 e5Rbp4 4.548825048280366e-17 5.788071738665376e-17 0 2.2 2.1999999999999997
115 e5Rbp4 6.895928203464646e-17 4.906271674243629e-17 0 3.6 3.6000000000000005
131 e5Rbp4 7.304098846218134e-17 3.804076802766598e-17 0 3.8 3.8000000000000003
160 e5Rbp4 4.548825048280366e-17 5.788071738665376e-17 0 2.2 2.1999999999999997
163 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
183 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
193 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
208 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
211 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
220 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
227 e5Rbp4 5.485677294651095e-17 5.016369324347609e-17 0 1.6 1.5999999999999999
247 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
253 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 1.4 1.4000000000000001
277 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
278 e5Rbp4 7.473417450352271e-17 7.714999591717934e-17 0 1.0 1.0
285 e5Rbp4 7.034607306733603e-17 5.5380885829271557e-17 0 2.4 2.4
294 e5Rbp4 7.034607306733603e-17 5.5380885829271557e-17 0 0.6 0.6
306 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
320 e5Rbp4 6.895928203464646e-17 4.906271674243629e-17 0 1.8 1.8000000000000003
334 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
335 e5Rbp4 5.233641528945917e-17 3.965619415545966e-17 0 3.0 3.0
336 e5Rbp4 4.548825048280366e-17 5.788071738665376e-17 0 2.2 2.1999999999999997
340 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
341 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
357 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
367 e5Rbp4 4.548825048280366e-17 5.788071738665376e-17 0 2.2 2.1999999999999997
376 e5Rbp4 4.548825048280366e-17 5.788071738665376e-17 0 2.2 2.1999999999999997
377 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
397 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
407 e5Rbp4 4.548825048280366e-17 5.788071738665376e-17 0 2.2 2.1999999999999997
414 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
423 e5Rbp4 7.034607306733603e-17 5.5380885829271557e-17 0 1.2 1.2
425 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
440 e5Rbp4 5.233641528945917e-17 3.965619415545966e-17 0 3.0 3.0
456 e5Rbp4 7.034607306733603e-17 5.5380885829271557e-17 0 2.4 2.4
457 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
472 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
476 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
497 e5Rbp4 7.034607306733603e-17 5.5380885829271557e-17 0 2.4 2.4
504 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
510 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
521 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
535 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
542 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
567 e5Rbp4 2.2165483511136364e-17 3.914465814887616e-17 0 2.8 2.8000000000000003
574 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
589 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
630 e5Rbp4 7.034607306733603e-17 5.5380885829271557e-17 0 2.4 2.4
648 e5Rbp4 5.162990394965738e-17 4.9537179689544687e-17 0 3.4 3.3999999999999995
