node_id pop_name DSI OSI preferred_angle max_mean_rate(Hz) Avg_Rate(Hz)
0 e5Rbp4 0.8801086198986235 0.9488292830168392 180 4.25 0.59375
1 e5Rbp4 0.5647595975650956 0.6715356246940039 180 21.75 4.34375
2 e5Rbp4 0.3913322320184035 0.45467302591704084 180 23.0 7.15625
3 e5Rbp4 0.4089328657801618 0.579310717171259 180 15.5 3.9375
4 e5Rbp4 0.8923543557893893 0.8888888888888888 180 4.0 0.5625
5 e5Rbp4 0.5622551781930658 0.6758625033664689 180 5.0 1.125
6 e5Rbp4 0.35018324125969813 0.3875241545818663 180 22.75 8.46875
7 e5Rbp4 1.0 1.0 180 2.75 0.34375
8 e5Rbp4 0.3467365149722163 0.4049918833104337 180 12.25 4.34375
9 e5Rbp4 0.1949514030422048 0.3964915644669782 180 23.25 8.15625
10 e5Rbp4 0.21272506702320013 0.27392667776554463 180 20.75 10.34375
11 e5Rbp4 0.18320863283250624 0.25999540762346735 180 29.0 13.46875
12 e5Rbp4 0.4520930376263188 0.6108949416342413 180 32.5 8.03125
13 e5Rbp4 0.891450757918241 0.8689660757568884 180 4.5 0.65625
14 e5Rbp4 0.2147422353143344 0.2927370225582734 180 32.75 14.21875
15 e5Rbp4 0.27293035068581245 0.4037018783849912 180 25.0 8.59375
16 e5Rbp4 0.22843831294706238 0.3772872632522144 180 14.25 5.625
17 e5Rbp4 0.27871244523530164 0.4656217705584579 180 12.0 4.25
18 e5Rbp4 0.9859894239862423 0.9513148795220224 180 4.75 0.625
19 e5Rbp4 0.28089430460193937 0.43854304235730385 180 11.25 3.90625
20 e5Rbp4 0.6623322243317011 0.7106335201775947 180 17.0 3.125
21 e5Rbp4 0.3661483993083403 0.3623083241432803 180 4.5 1.96875
22 e5Rbp4 0.4846191060399005 0.7037344772944352 180 9.75 2.125
23 e5Rbp4 0.15904190461925177 0.2760506794889035 180 20.25 9.75
24 e5Rbp4 0.29506948897935725 0.38621315959362945 180 26.0 9.90625
25 e5Rbp4 0.1684492074240412 0.262825035236237 180 28.5 13.40625
26 e5Rbp4 0.22211236472613527 0.33963640771622194 180 29.25 11.96875
27 e5Rbp4 0.2778772151286226 0.3964696818380695 180 17.5 6.5625
28 e5Rbp4 0.21677611010066858 0.288424233261651 180 27.0 12.65625
29 e5Rbp4 0.15263178669146302 0.2861815207622406 180 35.25 16.875
30 e5Rbp4 1.0 1.0 180 0.5 0.0625
31 e5Rbp4 1.0 1.0 180 4.5 0.5625
32 e5Rbp4 0.1665381422354054 0.2603240193322973 180 14.0 6.875
33 e5Rbp4 0.19414534957708213 0.32189244221006796 180 18.75 9.0625
34 e5Rbp4 0.44722434763762453 0.6772880744575893 180 8.75 2.25
35 e5Rbp4 0.2179971070427007 0.26892220366170944 180 26.0 13.90625
36 e5Rbp4 0.16118934002508722 0.19806691319768568 180 39.0 23.65625
37 e5Rbp4 0.6563255698871652 0.8600261451922269 180 2.25 0.40625
38 e5Rbp4 0.7756574916848314 0.7329325225725954 225 1.75 0.34375
39 e5Rbp4 0.9655615582463467 0.8768630958643937 180 3.25 0.46875
40 e5Rbp4 0.5570588139777881 0.7034483329571378 180 11.25 2.28125
41 e5Rbp4 0.21323761545800873 0.36489680541794833 180 18.25 8.25
42 e5Rbp4 0.18277556162771189 0.35214249880387827 180 39.5 17.46875
43 e5Rbp4 0.6993775288901609 0.6363961030678927 180 7.0 1.875
44 e5Rbp4 0.23039368752960626 0.29796146581885496 180 20.5 10.71875
45 e5Rbp4 0.5749176682051671 0.6332561277439024 180 8.75 2.28125
46 e5Rbp4 0.2991069587995268 0.3978353606662799 225 16.0 5.875
47 e5Rbp4 0.2812458024291558 0.4589654007827122 180 24.0 9.65625
48 e5Rbp4 0.1006407523201019 0.2503584802287491 180 24.5 14.0
49 e5Rbp4 0.18178068296015903 0.2647193860327027 180 21.5 11.6875
50 e5Rbp4 0.3178256462145481 0.4282005315494881 180 18.25 7.4375
51 e5Rbp4 0.629099088619256 0.6060877762461776 225 7.0 2.09375
52 e5Rbp4 0.6843429294620753 0.75650980292934 180 11.25 2.21875
53 e5Rbp4 0.293180727544948 0.4740568934965559 225 11.5 4.5
54 e5Rbp4 0.16704149660042503 0.27787400445270005 180 27.5 14.15625
55 e5Rbp4 0.4709164075008991 0.6428021785410978 225 15.5 4.15625
56 e5Rbp4 0.845464194325004 0.7905694150420949 225 3.5 0.625
57 e5Rbp4 0.4441702683358381 0.5084453954769284 225 12.0 3.53125
58 e5Rbp4 0.2523975524434611 0.32533040777586675 225 26.5 12.78125
59 e5Rbp4 0.9270443651571068 0.7211102550927979 180 0.75 0.15625
60 e5Rbp4 0.13993915025741194 0.27983669552196727 225 15.0 8.6875
61 e5Rbp4 0.49064131388254695 0.620218683191988 225 18.25 5.1875
62 e5Rbp4 0.649475520705739 0.8442743437614452 225 5.5 0.96875
63 e5Rbp4 0.41850554516247274 0.5707048996292561 225 14.0 3.46875
64 e5Rbp4 0.29469207218849097 0.48097018323036667 225 29.75 10.34375
65 e5Rbp4 0.4496185117493796 0.7453559924999299 225 2.0 0.46875
66 e5Rbp4 0.758642819072268 0.7964603131800819 225 3.5 0.59375
67 e5Rbp4 0.22705275731879143 0.31767626063228627 225 30.0 12.71875
68 e5Rbp4 0.9789819695666265 0.9262765060609459 225 3.0 0.40625
69 e5Rbp4 0.16408287103973493 0.30224418311452456 225 20.75 9.875
70 e5Rbp4 0.5683267686955139 0.7165733662183763 225 10.5 2.09375
71 e5Rbp4 0.2609345032793669 0.4731037523565282 225 34.25 11.25
72 e5Rbp4 1.0 1.0 225 1.25 0.15625
73 e5Rbp4 0.3166113010887781 0.40585365928813677 225 13.75 4.9375
74 e5Rbp4 0.2310612421855045 0.30646928999548095 225 15.0 7.46875
75 e5Rbp4 0.6799888091740078 0.8689660757568884 225 1.25 0.21875
76 e5Rbp4 0.5470025172267265 0.6632891055748739 225 6.25 1.8125
77 e5Rbp4 0.10485362102187364 0.45690424893926745 225 6.25 2.6875
78 e5Rbp4 0.27285011363215667 0.4261793545993273 225 21.75 7.375
79 e5Rbp4 0.9130434782608695 1.0 225 5.5 0.71875
80 e5Rbp4 0.6000000000000001 0.9055385138137417 225 3.75 0.625
81 e5Rbp4 0.26856368635265054 0.4810254250386436 225 13.25 4.21875
82 e5Rbp4 0.20425898872307885 0.4160407397309441 225 26.5 9.625
83 e5Rbp4 0.1589182056739437 0.23767275536141905 225 25.25 12.46875
84 e5Rbp4 0.1989492274678705 0.2614663583926612 225 23.25 10.75
85 e5Rbp4 0.4137470186080418 0.5175787087926509 225 31.0 9.09375
86 e5Rbp4 0.33440552195375484 0.6209356613640276 225 14.75 3.78125
87 e5Rbp4 1.0 1.0 225 2.5 0.3125
88 e5Rbp4 0.14913552873016095 0.26947986785379996 225 12.5 6.03125
89 e5Rbp4 0.9754936687220399 0.9136250564655355 225 5.0 0.6875
90 e5Rbp4 0.5510964586011577 0.8503307485046933 225 8.25 1.4375
91 e5Rbp4 0.8478949154337115 0.8256275792716588 225 6.75 1.0625
92 e5Rbp4 0.25355540543325694 0.5237862581662277 225 25.0 7.90625
93 e5Rbp4 0.5341347691850948 0.7243558228002943 225 11.25 2.25
94 e5Rbp4 0.22590964427851834 0.37329131416195344 225 20.25 7.96875
95 e5Rbp4 0.26390727254020857 0.48540276421611833 225 31.75 9.71875
96 e5Rbp4 0.20991128928525807 0.37458402126559853 225 20.5 8.3125
97 e5Rbp4 0.44652273897621414 0.5071590698640687 225 18.0 4.8125
98 e5Rbp4 0.44130914308976116 0.6666666666666667 225 20.5 4.6875
99 e5Rbp4 0.9103094954422936 0.9067886330341818 225 7.0 1.0
100 e5Rbp4 0.18566329117078625 0.35216029163985113 225 24.5 10.21875
101 e5Rbp4 0.36891403757859326 0.5614083417338375 225 20.75 5.6875
102 e5Rbp4 1.0 1.0 225 2.0 0.25
103 e5Rbp4 0.5005765638245664 0.636613553585687 225 19.25 4.25
104 e5Rbp4 0.1888397085820757 0.29444313355715995 225 20.0 9.03125
105 e5Rbp4 0.21188474426546774 0.36967849218473997 225 24.5 9.53125
106 e5Rbp4 0.6102184875699225 0.9672412085697939 225 6.0 0.9375
107 e5Rbp4 0.2754337328378251 0.5306811216754651 225 9.5 3.1875
108 e5Rbp4 0.41172449784840426 0.6750807892557457 225 12.25 2.96875
109 e5Rbp4 0.8430347095300866 0.8838834764831843 225 3.25 0.5
110 e5Rbp4 0.26717406991826553 0.4649223594491619 225 26.75 9.4375
111 e5Rbp4 0.31842007317660115 0.441606610608203 225 19.5 7.09375
112 e5Rbp4 0.4115047730798654 0.6126788517448398 225 13.0 3.46875
113 e5Rbp4 1.0 1.0 225 1.25 0.15625
114 e5Rbp4 0.6131161523855178 0.7279037666342009 225 5.25 1.03125
115 e5Rbp4 0.16530034248998493 0.30279909105744496 225 21.25 9.8125
116 e5Rbp4 0.29968967241214606 0.4533896008705039 225 12.75 4.0625
117 e5Rbp4 0.797255154864933 0.7623658345408676 225 7.25 1.28125
118 e5Rbp4 0.11462954104178191 0.2948119103767689 225 19.0 10.0
119 e5Rbp4 0.22043123074689416 0.35422200492390277 225 12.5 5.375
120 e5Rbp4 0.47811415019723297 0.567718301234703 225 11.25 2.84375
121 e5Rbp4 0.7142857142857144 0.7693092581620719 225 5.0 0.875
122 e5Rbp4 0.4240753513920575 0.6641107467133978 225 10.5 2.625
123 e5Rbp4 0.29259719932188216 0.5113596554325002 225 28.75 10.25
124 e5Rbp4 0.32522186213210375 0.5636688828068736 225 10.75 3.53125
125 e5Rbp4 0.9754936687220399 0.9136250564655355 225 2.5 0.34375
126 e5Rbp4 0.30609719905654764 0.3644142307443524 225 14.75 5.75
127 e5Rbp4 0.2461224044874154 0.34275494545617213 225 10.5 4.28125
128 e5Rbp4 0.16285460219534093 0.4440444912439312 225 25.0 10.9375
129 e5Rbp4 0.8597627693386961 0.9204467514322716 225 2.75 0.375
130 e5Rbp4 0.9248574881707212 0.7114582486036499 225 1.25 0.28125
131 e5Rbp4 0.11329849602851293 0.2196062373759551 225 17.5 10.4375
132 e5Rbp4 0.43402752931058214 0.6645973393776154 225 6.25 2.0625
133 e5Rbp4 0.41845438986926226 0.6168918507773916 225 5.25 1.875
134 e5Rbp4 0.29889889103705236 0.6541799361711491 225 4.75 1.5
135 e5Rbp4 0.3574174140836985 0.5200494100457079 225 24.5 7.5
136 e5Rbp4 0.17888476532115755 0.32537212056498493 225 21.75 10.09375
137 e5Rbp4 0.6657340259981076 0.45454545454545453 225 1.25 0.34375
138 e5Rbp4 0.2640772649441144 0.429671527712538 225 22.5 9.34375
139 e5Rbp4 0.4105921486750419 0.536898700853771 225 16.25 5.28125
140 e5Rbp4 0.7610751832509047 0.6373774391990982 225 1.25 0.25
141 e5Rbp4 0.410068220607473 0.5929270612815711 225 8.75 2.5
142 e5Rbp4 0.6206568511360916 0.7133644853010899 225 3.75 0.9375
143 e5Rbp4 0.25339700395540943 0.5594813585649815 225 5.5 2.375
144 e5Rbp4 0.28958826399372894 0.48893412926267743 225 20.5 8.375
145 e5Rbp4 0.5546364806627623 0.6408313506255747 270 9.5 2.375
146 e5Rbp4 0.48204285167462624 0.5939786619800193 270 5.5 1.625
147 e5Rbp4 0.692909649383465 0.7288689868556626 225 1.0 0.25
148 e5Rbp4 0.640099733065007 0.7535695296461239 270 2.75 0.59375
149 e5Rbp4 0.5764868471958815 0.6985699678629192 270 3.25 0.78125
150 e5Rbp4 0.6475314374861668 0.7428680339258008 270 8.25 1.84375
151 e5Rbp4 0.2208401091160183 0.4044901532004024 225 22.0 10.65625
152 e5Rbp4 0.8084459638502586 0.860026145192227 270 2.5 0.40625
153 e5Rbp4 0.260189256321835 0.6711283209197 270 6.25 2.0625
154 e5Rbp4 0.6543699672035674 0.6938292118907139 270 9.25 2.09375
155 e5Rbp4 0.3064944525981913 0.5116518878309624 270 20.5 7.03125
156 e5Rbp4 1.0 1.0 270 0.5 0.0625
157 e5Rbp4 0.2562086729666885 0.4593757471803509 270 12.75 5.25
158 e5Rbp4 0.7251232115252039 0.8498365855987975 270 1.25 0.1875
159 e5Rbp4 0.48455058377122245 0.5904591224705077 270 10.75 2.8125
160 e5Rbp4 0.20320082153361585 0.4125606698332764 270 20.25 8.21875
161 e5Rbp4 0.6175722420851747 0.7663273567663702 270 6.0 1.1875
162 e5Rbp4 0.26928936005773235 0.4284698373339386 270 20.5 7.625
163 e5Rbp4 0.14689569720401754 0.22780008096184395 270 25.75 13.8125
164 e5Rbp4 1.0 1.0 270 3.5 0.4375
165 e5Rbp4 0.26131901309352074 0.47453809115205314 270 19.75 7.15625
166 e5Rbp4 0.7746549282490381 0.7868548945008857 270 5.75 1.0
167 e5Rbp4 0.17073829844837224 0.28765853201983677 270 16.5 8.0625
168 e5Rbp4 0.7777777777777777 1.0 270 2.0 0.28125
169 e5Rbp4 0.17419151491862334 0.27146501341823287 270 12.75 6.03125
170 e5Rbp4 0.8501298253210348 0.9110862335695783 270 6.75 1.0
171 e5Rbp4 0.17383400132326474 0.5028026306363365 270 12.25 4.28125
172 e5Rbp4 0.3373907509018505 0.5882554244921541 270 16.0 4.6875
173 e5Rbp4 0.9326442173106044 0.7453559924999298 270 1.5 0.28125
174 e5Rbp4 0.22243072408511655 0.4323699252087166 270 17.0 6.625
175 e5Rbp4 0.16866828560734215 0.3554717439805198 270 14.25 6.3125
176 e5Rbp4 0.875 1.0 270 3.75 0.5
