connection pre post syntype N_90th N_resting mean_90th mean_resting median_90th median_resting std_90th std_resting logn_shape_90th logn_shape_resting logn_scale_90th logn_scale_resting
vip__to__vip vip vip in 13 13 0.499682646563843 0.256975792554712 0.33967597924217 0.09677458919771 0.393276282676188 0.317094600438727 0.678394363469955 1.32984474120505 0.390343995065301 0.116446616957379
vip__to__sst vip sst in 28 28 0.574832104353946 0.272296564301134 0.443466897129524 0.159134527906005 0.388113578711904 0.291100510847794 0.510423604341105 1.26403211843702 0.494748572916505 0.157851292312227
vip__to__pvalb vip pvalb in 10 10 0.367270822755468 0.201016771405348 0.298166687746984 0.134835684426822 0.21648650092014 0.202989729884447 0.490630003772123 1.00985091195063 0.32133332545887 0.126343065286259
vip__to__l6_pyr vip l6_pyr in 1 1 [] [] [] [] [] [] [] [] [] []
vip__to__l5_IT_pyr vip l5_IT_pyr in 0 0 [] [] [] [] [] [] [] [] [] []
vip__to__l5_ET_pyr vip l5_ET_pyr in 0 0 [] [] [] [] [] [] [] [] [] []
vip__to__l4_pyr vip l4_pyr in 0 0 [] [] [] [] [] [] [] [] [] []
vip__to__l23_pyr vip l23_pyr in 3 3 [] [] [] [] [] [] [] [] [] []
vip__to__all_pyr vip all_pyr in 3 3 [] [] [] [] [] [] [] [] [] []
vip__to__all_int vip all_int in 46 46 0.524325380955653 0.26596685286225 0.396629708458364 0.160254377896991 0.384217261238664 0.294589869033163 0.58186362669768 1.29024676101712 0.434062839663663 0.142785781933996
sst__to__vip sst vip in 42 41 0.906164021234653 0.339034560351764 0.78901195133505 0.165103909006424 0.633954648439681 0.473891670021564 0.651508686739486 4.93177790500796 0.733846541255519 0.057734417702757
sst__to__sst sst sst in 46 46 0.505389079702414 0.266243647149882 0.404892908325202 0.180941208189434 0.322792673580394 0.21921177767049 0.488952493375955 0.857057796274573 0.442025947171218 0.192678092185448
sst__to__pvalb sst pvalb in 58 58 0.487901950645131 0.248339668060984 0.400209316076237 0.171022126393875 0.333328629661804 0.256499518325886 0.628003573557171 0.849052894698155 0.402824832338206 0.173103050665713
sst__to__l6_pyr sst l6_pyr in 3 3 [] [] [] [] [] [] [] [] [] []
sst__to__l5_IT_pyr sst l5_IT_pyr in 13 13 0.312934675564547 0.175902278416061 0.25903178226465 0.169788111576701 0.164079993450465 0.149507888434019 0.430358717222436 0.892336463159497 0.281910474964582 0.122230507262848
sst__to__l5_ET_pyr sst l5_ET_pyr in 11 11 0.588966448954651 0.432936835606984 0.494744062556645 0.232853685800854 0.424196942297318 0.447298978528534 0.654646025133255 1.11136185927982 0.470051360503268 0.249319390882898
sst__to__l4_pyr sst l4_pyr in 13 13 0.45099664171203 0.219592973014835 0.352640356194772 0.178752524034167 0.322485579238486 0.198340415520685 0.445326038877932 0.560321874797817 0.394114862439477 0.178293136535134
sst__to__l23_pyr sst l23_pyr in 13 13 0.450940885407281 0.288155991282369 0.464949760063567 0.16761317764338 0.216082674519135 0.264292713919655 0.488877462558857 0.963672595322473 0.401119365794708 0.191734070209334
sst__to__all_pyr sst all_pyr in 41 41 0.447151690395846 0.289742681890716 0.348034351870296 0.193383379529549 0.284492445258451 0.302051482509644 0.525312430296202 0.943846316911702 0.384259336903835 0.190001697149221
sst__to__all_int sst all_int in 148 147 0.610089046814055 0.27992594891371 0.500224405061909 0.176885413714368 0.475277456979337 0.325812278922764 0.652984749838065 2.75409801098235 0.488699887618531 0.131425544614599
pvalb__to__vip pvalb vip in 9 9 0.511903867800913 0.6016337742902 0.504720324879954 0.315765480743562 0.218792769384643 0.599273463998162 0.464653696773889 1.1209696301865 0.462343812723559 0.341525457343484
pvalb__to__sst pvalb sst in 18 18 0.675877435139976 0.520015954432629 0.62481740136627 0.444037879351245 0.40642648744731 0.495039151024421 0.566717050181312 0.913941079570704 0.580574570919736 0.352469894603725
pvalb__to__pvalb pvalb pvalb in 240 240 0.652111195480155 0.654347068400095 0.542306169550924 0.466817739928595 0.457467204528926 0.575888171323223 0.682845332082512 0.929231335568058 0.519935447621908 0.443896556529204
pvalb__to__l6_pyr pvalb l6_pyr in 14 14 0.702980416861951 0.627912381362884 0.507938696014238 0.355083653570967 0.422065651208784 0.627103994629005 0.563777330177538 0.904976221570583 0.59646131818936 0.417031422195811
pvalb__to__l5_IT_pyr pvalb l5_IT_pyr in 11 11 0.653756377840313 0.650123892807427 0.669661894211233 0.494806862465908 0.452058875495171 0.548480138866535 0.778374442459582 0.758334429142056 0.502506904481485 0.484911953834181
pvalb__to__l5_ET_pyr pvalb l5_ET_pyr in 6 6 0.486486515385127 0.513079251758138 0.445808020606915 0.444465663269283 0.272327059149915 0.3194694744569 0.73927408495143 0.927477802990505 0.390145528239869 0.375578066984075
pvalb__to__l4_pyr pvalb l4_pyr in 27 27 0.729200700570172 0.710091873640991 0.62144745830789 0.563626825776109 0.467714247697855 0.580651260413789 0.657471737860007 0.827349164075756 0.593091865785575 0.512248300579719
pvalb__to__l23_pyr pvalb l23_pyr in 11 11 0.397478628122215 0.404898740128711 0.372450554197108 0.433824864971674 0.123250809875994 0.180032874916497 0.343184156911504 0.526093979586545 0.376398460275446 0.35853215516292
pvalb__to__all_pyr pvalb all_pyr in 59 59 0.596976333288531 0.59519261153243 0.503505955135703 0.435364755792085 0.398123189982759 0.505994327539868 0.631308793454378 0.795189769969043 0.490743953405308 0.439587894059836
pvalb__to__all_int pvalb all_int in 264 264 0.655614357409628 0.654006118851472 0.550568653613672 0.466817739928595 0.458245729107658 0.585891424369501 0.679889025305312 0.950560193511436 0.523928264585512 0.436265097241447
l6_pyr__to__vip l6_pyr vip ex 0 0 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__sst l6_pyr sst ex 4 4 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__pvalb l6_pyr pvalb ex 7 7 1.23329013808078 0.518683975609869 1.23742067897306 0.494682108405109 0.822977419980148 0.405741219873021 0.815129840508954 1.39950320055202 0.943079008450271 0.277445382280045
l6_pyr__to__l6_pyr l6_pyr l6_pyr ex 1 1 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__l5_IT_pyr l6_pyr l5_IT_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__l5_ET_pyr l6_pyr l5_ET_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__l4_pyr l6_pyr l4_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__l23_pyr l6_pyr l23_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__all_pyr l6_pyr all_pyr ex 1 1 [] [] [] [] [] [] [] [] [] []
l6_pyr__to__all_int l6_pyr all_int ex 11 11 1.09413308229258 0.40005985432712 1.02532593023721 0.261434950575531 0.731945999696525 0.361401496999167 0.726655020274799 1.15104016491009 0.866823886889366 0.238496598770571
l5_IT_pyr__to__vip l5_IT_pyr vip ex 1 1 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__sst l5_IT_pyr sst ex 24 23 0.911605405911992 0.211815170923664 0.849149797109762 0.059995443276241 0.621641235224036 0.337959918085514 0.64876391826922 8.76328141202123 0.745326897281007 0.006061119656761
l5_IT_pyr__to__pvalb l5_IT_pyr pvalb ex 11 11 0.856384958450985 0.707489425173173 0.772523447800279 0.443224294051153 0.495139938386429 0.453956028536485 0.601362610445899 0.835695951441867 0.721260470069924 0.530582739413002
l5_IT_pyr__to__l6_pyr l5_IT_pyr l6_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__l5_IT_pyr l5_IT_pyr l5_IT_pyr ex 24 24 0.35768079370783 0.240500949834974 0.261638954769633 0.169435613019787 0.259989467079455 0.240040487835591 0.673571820427982 0.918997315547401 0.283629794802136 0.157289106823016
l5_IT_pyr__to__l5_ET_pyr l5_IT_pyr l5_ET_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__l4_pyr l5_IT_pyr l4_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__l23_pyr l5_IT_pyr l23_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l5_IT_pyr__to__all_pyr l5_IT_pyr all_pyr ex 15 15 0.398887246617355 0.346298271343378 0.242224323842471 0.101932637347735 0.442054951938866 0.551048897574542 0.790012442089576 1.40648982279183 0.27352303289143 0.135945667040606
