,node_id pop_name max_mean_rate(Hz) preferred_angle OSI DSI Ave_Rate(Hz) firing_rate_sp,firing_rate_white_flash,firing_rate_black_flash,tfs,significant_tfs
0,0 e5Rbp4 6.02406540316603 358.8200631611446 0.2817532608301772 0.1299200452295849 2.90625 2.4999999999999996,,,,
1,1 e5Rbp4 7.258885679279949 359.982237442202 0.335055952037296 0.067288163271028 3.637500000000001 2.35,,,,
2,2 e5Rbp4 5.989717154831371 0.0795242862039691 0.2487332408261973 0.0832418402693378 3.21875 3.0500000000000003,,,,
3,3 e5Rbp4 6.2874361719188085 358.07157835698587 0.3178840181283725 0.1411761993496388 2.9375000000000004 2.7750000000000004,,,,
4,4 e5Rbp4 9.423044367527476 6.934722138519311 0.2425482515103003 0.126169830644258 4.9 4.25,,,,
5,5 e5Rbp4 7.863823803593297 0.4816617160372974 0.2508354828427159 0.1725431575056763 3.8375 3.25,,,,
6,6 e5Rbp4 27.180882375485854 184.0538376799045 0.083347773843652 0.0030580918997785 23.256249999999994 15.625,31.64,21.919999999999998,34.0,False
7,7 e5Rbp4 6.130089512729182 3.840990722008202 0.2548266821795009 0.1016995900614223 3.2125000000000004 3.8749999999999996,,,,
8,8 e5Rbp4 4.723338017733708 2.319005023577496 0.1866269488764899 0.0879115443825135 2.8625000000000003 3.0999999999999996,,,,
9,9 e5Rbp4 25.172366940760035 8.039169757086022 0.1686605536356679 0.0293813666141025 17.6375 12.875,23.240000000000002,16.0,35.0,True
10,10 e5Rbp4 3.50210291955868 4.112627447182552 0.2666424928526685 0.0571913186717068 1.9625 1.8499999999999999,,,,
11,11 e5Rbp4 5.697558589923697 7.440489264173637 0.1471565588271222 0.0710552534594584 4.04375 3.725,,,,
12,12 e5Rbp4 24.45345649457509 12.0329917933123 0.1791677030610495 0.0189755785786971 16.912499999999998 13.125,,,,
13,13 e5Rbp4 8.500651528372426 7.794735343993092 0.2130803940887679 0.1154557445873489 4.837500000000001 3.4999999999999996,,,,
14,14 e5Rbp4 9.545772687988205 9.242755307725458 0.3772870554521057 0.1185585651456107 4.6 4.225,,,,
15,15 e5Rbp4 13.461783872641952 8.92550503570544 0.2856504344478695 0.1043189142933571 7.10625 4.525,,,,
16,16 e5Rbp4 5.238708479027007 8.053363422692284 0.2653346875142335 0.146336524079612 2.55625 2.3,,,,
17,17 e5Rbp4 18.48322381033607 10.207377485696856 0.2011888917414655 0.0424072084522165 12.29375 11.925,,,,
18,18 e5Rbp4 9.362605673912627 7.912097804872849 0.2585200486467671 0.1131509359951037 4.74375 3.7750000000000004,,,,
19,19 e5Rbp4 7.304750295671817 8.300156060502895 0.2387647235953831 0.1319300313356683 4.03125 2.8499999999999996,,,,
20,20 e5Rbp4 5.629147935347345 16.640083180703847 0.1853401604231686 0.0957607342106016 3.10625 2.9250000000000003,,,,
21,21 e5Rbp4 9.17068535076434 19.76201427653936 0.3051955783156275 0.0914033897535225 4.8875 4.675,,,,
22,22 e5Rbp4 7.420072275486196 8.751522662761877 0.2915839631001008 0.0868135045850897 4.168749999999999 3.05,,,,
23,23 e5Rbp4 4.445502503454405 10.100977934520406 0.1639112713575838 0.0524441797594779 2.98125 2.9000000000000004,,,,
24,24 e5Rbp4 18.65927946800597 15.605011934667177 0.0769930052963547 0.0069436384268506 14.65 8.725000000000001,25.919999999999998,19.24,37.0,False
25,25 e5Rbp4 3.8  0.3004664476782111 0.2085814317712064 1.78125 1.7249999999999999,,,,
26,26 e5Rbp4 11.120418370635292 14.185547430327734 0.2802432725561795 0.0331579613643039 6.1937500000000005 3.725,,,,
27,27 e5Rbp4 6.164420014776375 16.022695359964125 0.2758565122889285 0.171777264731755 3.0500000000000003 2.5749999999999997,,,,
28,28 e5Rbp4 13.30970946412362 15.97486650010888 0.1648573867142949 0.0469485631488797 9.33125 9.200000000000001,,,,
29,29 e5Rbp4 16.314657507938175 12.464949724014614 0.0649456026584578 0.0103251820431848 13.99375 11.025,,,,
30,30 e5Rbp4 5.685343718377618 12.759477948694585 0.2029433610772374 0.1070825727561563 3.3 3.35,,,,
31,31 e5Rbp4 6.65  0.1582396201711532 0.0755325519180771 4.6375 3.925,,,,
32,32 e5Rbp4 10.911975977049709 13.973745378374211 0.0405064546127308 0.0107347918105719 10.1625 8.674999999999999,,,,
33,33 e5Rbp4 7.4  0.1624289036687096 0.0879784778330005 5.30625 3.9750000000000005,,,,
34,34 e5Rbp4 3.9  0.153084023463956 0.0616895007349 2.8875 2.55,,,,
35,35 e5Rbp4 8.9  0.3138253972664415 0.1599355040931427 4.63125 3.3000000000000003,,,,
36,36 e5Rbp4 4.0  0.209297187340816 0.1244555865211968 2.44375 2.55,,,,
37,37 e5Rbp4 3.8  0.2694587625061728 0.1308578584625878 2.25 2.0999999999999996,,,,
38,38 e5Rbp4 4.8  0.2160104301087271 0.1294197602161933 2.85625 2.5,,,,
39,39 e5Rbp4 6.977720812183079 17.022116252273133 0.2768050447126206 0.1045578245128246 3.1 2.525,,,,
40,40 e5Rbp4 8.65  0.3197174317548733 0.0746676246149301 5.293750000000001 2.6999999999999997,,,,
41,41 e5Rbp4 5.15  0.1702527443899754 0.1154665384852572 3.4 3.275,,,,
42,42 e5Rbp4 10.55  0.3337342990292069 0.0899959037676349 6.34375 3.4500000000000006,,,,
43,43 e5Rbp4 7.4  0.1896779538139137 0.1089875374644759 4.731249999999999 3.5749999999999997,,,,
44,44 e5Rbp4 14.886164411660312 14.709463602650532 0.076818940856972 0.0083822055153111 12.49375 10.975,,,,
45,45 e5Rbp4 5.95  0.2690019793489985 0.1306092874151079 3.5687500000000005 2.85,,,,
46,46 e5Rbp4 5.4  0.1865119292963984 0.0418734942961319 3.7125 2.525,,,,
47,47 e5Rbp4 13.3  0.3052116217347382 0.1188313903322314 7.85 4.625,,,,
48,48 e5Rbp4 6.45  0.3367540947226923 0.0430831237083991 4.0 2.725,5.0,5.24,98.5,True
49,49 e5Rbp4 4.6  0.1267021167947923 0.028830741114227 3.54375 3.575,,,,
50,50 e5Rbp4 25.6  0.1239587097934998 0.0313830221923736 20.36875 15.625,,,,
51,51 e5Rbp4 21.42715488221629 25.64126079982468 0.2056668947256046 0.0389637154053659 13.806250000000002 8.174999999999999,,,,
