,neuron_id,neuron_type,RF_area,RF_center
0,0,e5Rbp4,500.0,[5.1 5.3]
1,1,e5Rbp4,600.0,[4.  4.5]
2,2,e5Rbp4,600.0,[8.66666667 5.66666667]
3,3,e5Rbp4,800.0,[5.625 5.625]
4,4,e5Rbp4,600.0,[7.  4.5]
5,5,e5Rbp4,1000.0,[6.3 1.2]
6,6,e5Rbp4,900.0,[7.05555556 6.27777778]
7,7,e5Rbp4,1800.0,[7.33333333 7.16666667]
8,8,e5Rbp4,600.0,[7.  4.5]
9,9,e5Rbp4,400.0,[8. 5.]
10,10,e5Rbp4,800.0,[5.625 6.375]
11,11,e5Rbp4,300.0,[3.83333333 4.5       ]
12,12,e5Rbp4,700.0,[8.5 5.5]
13,13,e5Rbp4,600.0,[6.5 7. ]
14,14,e5Rbp4,800.0,[7.625 5.375]
15,15,e5Rbp4,400.0,[5.25 6.5 ]
16,16,e5Rbp4,900.0,[7.61111111 1.16666667]
17,17,e5Rbp4,300.0,[6.83333333 6.83333333]
18,18,e5Rbp4,600.0,[4.16666667 5.        ]
19,19,e5Rbp4,400.0,[4. 5.]
20,20,e5Rbp4,400.0,[6.5 5. ]
21,21,e5Rbp4,500.0,[6.7 2.5]
22,22,e5Rbp4,700.0,[8.21428571 4.92857143]
23,23,e5Rbp4,300.0,[5.16666667 6.16666667]
24,24,e5Rbp4,400.0,[4. 5.]
25,25,e5Rbp4,600.0,[6.  6.5]
26,26,e5Rbp4,500.0,[4.9 4.7]
27,27,e5Rbp4,800.0,[5.125 5.5  ]
28,28,e5Rbp4,300.0,[7.5 4.5]
29,29,e5Rbp4,100.0,[4.5 4.5]
30,30,e5Rbp4,1700.0,[4.61764706 3.73529412]
31,31,e5Rbp4,700.0,[1.07142857 9.5       ]
32,32,e5Rbp4,1000.0,[7.8 1.9]
33,33,e5Rbp4,400.0,[8.25 5.5 ]
34,34,e5Rbp4,200.0,[8.  4.5]
35,35,e5Rbp4,500.0,[5.3 4.9]
36,36,e5Rbp4,1000.0,[8.6 6.3]
37,37,e5Rbp4,300.0,[5.16666667 6.83333333]
38,38,e5Rbp4,500.0,[5.1 6.7]
39,39,e5Rbp4,400.0,[0.75 5.5 ]
40,40,e5Rbp4,600.0,[6.5 6. ]
41,41,e5Rbp4,600.0,[6.  9.5]
42,42,e5Rbp4,2300.0,[7.10869565 6.36956522]
43,43,e5Rbp4,1600.0,[8.25  6.875]
44,44,e5Rbp4,400.0,[8.75 6.25]
45,45,e5Rbp4,600.0,[4.5 5. ]
46,46,e5Rbp4,900.0,[6.83333333 6.61111111]
47,47,e5Rbp4,2400.0,[6.91666667 5.70833333]
48,48,e5Rbp4,600.0,[5.  5.5]
49,49,e5Rbp4,600.0,[8.33333333 4.66666667]
50,50,e5Rbp4,800.0,[4.625 5.875]
51,51,e5Rbp4,400.0,[5. 6.]
52,52,e5Rbp4,500.0,[4.7 6.1]
53,53,e5Rbp4,400.0,[8.5  5.25]
54,54,e5Rbp4,600.0,[5.  6.5]
55,55,e5Rbp4,1000.0,[8.2 4.3]
56,56,e5Rbp4,200.0,[8.5 4. ]
57,57,e5Rbp4,400.0,[7.5  4.25]
58,58,e5Rbp4,400.0,[11.25  4.75]
59,59,e5Rbp4,400.0,[8.5  5.75]
60,60,e5Rbp4,400.0,[7.25 6.5 ]
61,61,e5Rbp4,400.0,[8. 5.]
62,62,e5Rbp4,400.0,[7. 5.]
63,63,e5Rbp4,2200.0,[4.         8.95454545]
64,64,e5Rbp4,1900.0,[6.76315789 6.55263158]
65,65,e5Rbp4,1200.0,[6.66666667 5.66666667]
66,66,e5Rbp4,200.0,[4.5 5. ]
67,67,e5Rbp4,400.0,[6. 6.]
68,68,e5Rbp4,300.0,[0.5 9.5]
69,69,e5Rbp4,500.0,[4.5 5.5]
70,70,e5Rbp4,400.0,[5. 6.]
71,71,e5Rbp4,500.0,[7.5 4.5]
72,72,e5Rbp4,400.0,[9. 5.]
73,73,e5Rbp4,500.0,[11.7  9.7]
74,74,e5Rbp4,1400.0,[7.         4.35714286]
75,75,e5Rbp4,200.0,[5.5 4. ]
76,76,e5Rbp4,900.0,[7.05555556 5.61111111]
77,77,e5Rbp4,400.0,[6. 5.]
78,78,e5Rbp4,500.0,[5.3 5.9]
79,79,e5Rbp4,700.0,[4.78571429 6.92857143]
80,80,e5Rbp4,1300.0,[9.96153846 4.5       ]
81,81,e5Rbp4,500.0,[4.7 5.9]
82,82,e5Rbp4,100.0,[8.5 5.5]
83,83,e5Rbp4,300.0,[4.16666667 5.16666667]
84,84,e5Rbp4,300.0,[9.16666667 5.16666667]
