,neuron_id,neuron_type,RF_area,RF_center
0,0,e5Rbp4,400.0,[9.25 4.5 ]
1,1,e5Rbp4,1300.0,[7.34615385 1.96153846]
2,2,e5Rbp4,400.0,[5. 7.]
3,3,e5Rbp4,400.0,[9. 6.]
4,4,e5Rbp4,400.0,[12. 10.]
5,5,e5Rbp4,300.0,[7.16666667 7.16666667]
6,6,e5Rbp4,400.0,[7. 7.]
7,7,e5Rbp4,400.0,[9. 6.]
8,8,e5Rbp4,600.0,[4.  4.5]
9,9,e5Rbp4,400.0,[4. 5.]
10,10,e5Rbp4,200.0,[8.  4.5]
11,11,e5Rbp4,600.0,[10.   5.5]
12,12,e5Rbp4,400.0,[4.75 6.75]
13,13,e5Rbp4,500.0,[7.9 4.3]
14,14,e5Rbp4,400.0,[6.25 6.5 ]
15,15,e5Rbp4,400.0,[9. 5.]
16,16,e5Rbp4,300.0,[7.16666667 4.16666667]
17,17,e5Rbp4,300.0,[9.16666667 3.83333333]
18,18,e5Rbp4,300.0,[4.83333333 6.83333333]
19,19,e5Rbp4,200.0,[7.5 9. ]
20,20,e5Rbp4,200.0,[4.5 6. ]
21,21,e5Rbp4,400.0,[4.75 4.5 ]
22,22,e5Rbp4,400.0,[4.75 6.5 ]
23,23,e5Rbp4,400.0,[5. 6.]
24,24,e5Rbp4,400.0,[4. 5.]
25,25,e5Rbp4,400.0,[0.5 4. ]
26,26,e5Rbp4,400.0,[9. 6.]
27,27,e5Rbp4,200.0,[7.5 4. ]
28,28,e5Rbp4,,[4.39285714 3.78571429]
29,29,e5Rbp4,400.0,[3. 6.]
30,30,e5Rbp4,500.0,[5.1 4.3]
31,31,e5Rbp4,100.0,[6.5 7.5]
32,32,e5Rbp4,300.0,[9.83333333 5.83333333]
33,33,e5Rbp4,400.0,[7. 7.]
34,34,e5Rbp4,700.0,[3.92857143 5.78571429]
35,35,e5Rbp4,400.0,[5. 6.]
36,36,e5Rbp4,300.0,[5.16666667 6.83333333]
37,37,e5Rbp4,200.0,[8.5 6. ]
38,38,e5Rbp4,400.0,[4. 5.]
39,39,e5Rbp4,200.0,[9.5 6. ]
40,40,e5Rbp4,500.0,[8.9 5.3]
41,41,e5Rbp4,300.0,[9.16666667 3.83333333]
42,42,e5Rbp4,400.0,[6. 4.]
43,43,e5Rbp4,400.0,[5. 7.]
44,44,e5Rbp4,200.0,[7.  4.5]
45,45,e5Rbp4,200.0,[3.5 5. ]
46,46,e5Rbp4,300.0,[3.83333333 4.16666667]
47,47,e5Rbp4,400.0,[7. 7.]
48,48,e5Rbp4,200.0,[3.5 4. ]
49,49,e5Rbp4,600.0,[3.16666667 6.        ]
50,50,e5Rbp4,200.0,[5.5 6. ]
51,51,e5Rbp4,300.0,[4.83333333 5.83333333]
52,52,e5Rbp4,300.0,[8.83333333 5.83333333]
53,53,e5Rbp4,300.0,[7.83333333 4.83333333]
54,54,e5Rbp4,200.0,[4.5 6. ]
55,55,e5Rbp4,300.0,[8.16666667 5.16666667]
56,56,e5Rbp4,400.0,[10.  5.]
57,57,e5Rbp4,500.0,[5.9 4.3]
58,58,e5Rbp4,300.0,[5.83333333 4.16666667]
59,59,e5Rbp4,300.0,[6.5 4.5]
60,60,e5Rbp4,300.0,[7.16666667 3.16666667]
61,61,e5Rbp4,200.0,[4.5 6. ]
62,62,e5Rbp4,600.0,[3.5 3. ]
63,63,e5Rbp4,200.0,[8.5 5. ]
64,64,e5Rbp4,1000.0,[3.7 5.3]
65,65,e5Rbp4,400.0,[5. 7.]
66,66,e5Rbp4,200.0,[9.  5.5]
67,67,e5Rbp4,200.0,[8.5 6. ]
68,68,e5Rbp4,200.0,[4.5 7. ]
69,69,e5Rbp4,400.0,[7.25 4.5 ]
70,70,e5Rbp4,200.0,[8.5 5. ]
71,71,e5Rbp4,500.0,[5.9 6.3]
72,72,e5Rbp4,400.0,[7. 7.]
73,73,e5Rbp4,400.0,[4. 6.]
74,74,e5Rbp4,500.0,[9.1 4.3]
75,75,e5Rbp4,500.0,[5.7 6.5]
76,76,e5Rbp4,200.0,[8.5 5. ]
77,77,e5Rbp4,500.0,[6.1 7.3]
78,78,e5Rbp4,400.0,[8.25 6.5 ]
79,79,e5Rbp4,400.0,[5.25 3.5 ]
80,80,e5Rbp4,200.0,[3.5 4. ]
81,81,e5Rbp4,400.0,[9. 5.]
82,82,e5Rbp4,200.0,[9.5 5. ]
83,83,e5Rbp4,400.0,[4. 6.]
84,84,e5Rbp4,500.0,[6.9 6.3]
85,85,e5Rbp4,300.0,[8.16666667 4.16666667]
86,86,e5Rbp4,400.0,[6. 4.]
87,87,e5Rbp4,500.0,[9.1 5.3]
88,88,e5Rbp4,400.0,[6.5 4. ]
89,89,e5Rbp4,200.0,[6.5 7. ]
90,90,e5Rbp4,200.0,[3.5 5. ]
91,91,e5Rbp4,100.0,[6.5 3.5]
92,92,e5Rbp4,300.0,[9.5 5.5]
93,93,e5Rbp4,300.0,[6.16666667 5.83333333]
94,94,e5Rbp4,400.0,[7. 7.]
95,95,e5Rbp4,400.0,[7. 4.]
96,96,e5Rbp4,200.0,[6.5 7. ]
97,97,e5Rbp4,700.0,[8.07142857 7.21428571]
98,98,e5Rbp4,300.0,[4.5 4.5]
99,99,e5Rbp4,500.0,[8.9 4.3]
100,100,e5Rbp4,700.0,[6.35714286 4.78571429]
101,101,e5Rbp4,400.0,[9. 5.]
102,102,e5Rbp4,200.0,[5.5 7. ]
103,103,e5Rbp4,500.0,[7.7 6.7]
104,104,e5Rbp4,600.0,[7.66666667 3.5       ]
105,105,e5Rbp4,300.0,[7.16666667 7.83333333]
106,106,e5Rbp4,400.0,[3. 6.]
107,107,e5Rbp4,300.0,[4.16666667 4.83333333]
108,108,e5Rbp4,400.0,[5. 5.]
109,109,e5Rbp4,400.0,[7. 4.]
110,110,e5Rbp4,500.0,[12.1  2.7]
111,111,e5Rbp4,200.0,[9.5 5. ]
112,112,e5Rbp4,300.0,[4.83333333 6.83333333]
113,113,e5Rbp4,400.0,[3.25 5.5 ]
114,114,e5Rbp4,300.0,[4.16666667 4.83333333]
115,115,e5Rbp4,300.0,[7.5 3.5]
116,116,e5Rbp4,200.0,[6.5 7. ]
117,117,e5Rbp4,400.0,[4. 5.]
118,118,e5Rbp4,300.0,[4.16666667 4.83333333]
119,119,e5Rbp4,200.0,[5.5 7. ]
120,120,e5Rbp4,500.0,[3.3 5.9]
121,121,e5Rbp4,200.0,[3.5 7. ]
122,122,e5Rbp4,600.0,[7.  6.5]
123,123,e5Rbp4,200.0,[6.  6.5]
124,124,e5Rbp4,300.0,[9.16666667 5.83333333]
125,125,e5Rbp4,300.0,[4.16666667 4.16666667]
126,126,e5Rbp4,300.0,[5.16666667 4.16666667]
127,127,e5Rbp4,500.0,[9.1 4.7]
128,128,e5Rbp4,200.0,[9.5 5. ]
129,129,e5Rbp4,300.0,[8.83333333 5.83333333]
130,130,e5Rbp4,300.0,[5.83333333 6.83333333]
131,131,e5Rbp4,300.0,[4.16666667 4.16666667]
132,132,e5Rbp4,400.0,[4.75 3.5 ]
133,133,e5Rbp4,300.0,[5.83333333 3.83333333]
134,134,e5Rbp4,800.0,[11.625  9.625]
135,135,e5Rbp4,200.0,[4.  4.5]
136,136,e5Rbp4,500.0,[4.3 5.9]
137,137,e5Rbp4,200.0,[7.5 7. ]
138,138,e5Rbp4,400.0,[9. 5.]
139,139,e5Rbp4,300.0,[3.5 5.5]
140,140,e5Rbp4,700.0,[5.21428571 4.5       ]
141,141,e5Rbp4,400.0,[4. 5.]
142,142,e5Rbp4,900.0,[7.61111111 6.16666667]
143,143,e5Rbp4,500.0,[5.3 4.1]
144,144,e5Rbp4,100.0,[6.5 6.5]
145,145,e5Rbp4,300.0,[7.5 4.5]
146,146,e5Rbp4,400.0,[4. 4.]
147,147,e5Rbp4,200.0,[3.5 5. ]
148,148,e5Rbp4,200.0,[9.5 5. ]
149,149,e5Rbp4,200.0,[4.5 5. ]
150,150,e5Rbp4,400.0,[4. 5.]
151,151,e5Rbp4,1300.0,[8.03846154 6.65384615]
152,152,e5Rbp4,200.0,[3.5 6. ]
153,153,e5Rbp4,200.0,[3.5 5. ]
154,154,e5Rbp4,300.0,[6.83333333 4.16666667]
155,155,e5Rbp4,400.0,[4.25 4.75]
156,156,e5Rbp4,400.0,[4.75 3.5 ]
157,157,e5Rbp4,300.0,[4.16666667 6.83333333]
158,158,e5Rbp4,300.0,[8.16666667 6.16666667]
159,159,e5Rbp4,1200.0,[6.83333333 2.16666667]
160,160,e5Rbp4,300.0,[6.83333333 7.16666667]
161,161,e5Rbp4,200.0,[3.5 6. ]
162,162,e5Rbp4,400.0,[7. 8.]
163,163,e5Rbp4,300.0,[9.83333333 5.83333333]
164,164,e5Rbp4,700.0,[9.64285714 5.07142857]
165,165,e5Rbp4,500.0,[5.9 4.3]
166,166,e5Rbp4,300.0,[5.83333333 3.83333333]
167,167,e5Rbp4,400.0,[9. 6.]
168,168,e5Rbp4,300.0,[5.16666667 3.83333333]
169,169,e5Rbp4,100.0,[3.5 4.5]
170,170,e5Rbp4,400.0,[5. 4.]
171,171,e5Rbp4,400.0,[4. 5.]
172,172,e5Rbp4,400.0,[3. 6.]
173,173,e5Rbp4,300.0,[3.16666667 4.16666667]
174,174,e5Rbp4,400.0,[4. 5.]
175,175,e5Rbp4,200.0,[3.5 7. ]
176,176,e5Rbp4,300.0,[3.83333333 5.83333333]
177,177,e5Rbp4,400.0,[7. 7.]
178,178,e5Rbp4,400.0,[5. 7.]
179,179,e5Rbp4,200.0,[3.5 4. ]
180,180,e5Rbp4,400.0,[8.75 5.5 ]
181,181,e5Rbp4,300.0,[3.83333333 6.83333333]
182,182,e5Rbp4,400.0,[10.  6.]
183,183,e5Rbp4,700.0,[8.92857143 5.78571429]
184,184,e5Rbp4,400.0,[9. 6.]
185,185,e5Rbp4,400.0,[4. 5.]
186,186,e5Rbp4,200.0,[8.  4.5]
187,187,e5Rbp4,400.0,[6. 4.]
188,188,e5Rbp4,300.0,[3.5 5.5]
189,189,e5Rbp4,200.0,[9.5 4. ]
190,190,e5Rbp4,300.0,[5.83333333 6.83333333]
191,191,e5Rbp4,300.0,[4.16666667 6.83333333]
192,192,e5Rbp4,300.0,[3.16666667 5.16666667]
193,193,e5Rbp4,400.0,[8. 6.]
194,194,e5Rbp4,600.0,[4.  4.5]
195,195,e5Rbp4,400.0,[3. 5.]
196,196,e5Rbp4,600.0,[4.83333333 4.33333333]
197,197,e5Rbp4,400.0,[8. 6.]
198,198,e5Rbp4,200.0,[8.5 5. ]
199,199,e5Rbp4,400.0,[5. 4.]
200,200,e5Rbp4,400.0,[9. 5.]
201,201,e5Rbp4,200.0,[4.  5.5]
202,202,e5Rbp4,400.0,[7. 5.]
203,203,e5Rbp4,400.0,[5. 4.]
204,204,e5Rbp4,300.0,[5.83333333 4.83333333]
205,205,e5Rbp4,200.0,[9.5 5. ]
206,206,e5Rbp4,400.0,[9.  4.5]
207,207,e5Rbp4,400.0,[7. 8.]
208,208,e5Rbp4,200.0,[8.5 6. ]
209,209,e5Rbp4,400.0,[4.25 4.5 ]
210,210,e5Rbp4,500.0,[7.5 4.5]
211,211,e5Rbp4,600.0,[8.66666667 6.        ]
212,212,e5Rbp4,300.0,[9.83333333 5.83333333]
213,213,e5Rbp4,100.0,[3.5 4.5]
214,214,e5Rbp4,400.0,[7. 7.]
215,215,e5Rbp4,300.0,[3.16666667 6.16666667]
216,216,e5Rbp4,600.0,[6.33333333 5.16666667]
217,217,e5Rbp4,300.0,[5.5 6.5]
